timestamp,#job,#traffic,#happythanksgiving,#hawks,#blackfriday
2018-11-23 04:39:08,2220,105,1149,1,401
2018-11-23 04:39:10,2220,105,1149,1,401
2018-11-23 04:39:12,2220,105,1149,1,401
2018-11-23 04:39:14,2220,105,1150,1,401
2018-11-23 04:39:16,2220,105,1152,1,402
2018-11-23 04:39:18,2220,105,1153,1,402
2018-11-23 04:39:20,2220,105,1154,1,403
2018-11-23 04:39:22,2220,105,1154,1,404
2018-11-23 04:39:24,2220,105,1154,1,404
2018-11-23 04:39:26,2220,105,1154,1,404
2018-11-23 04:39:28,2220,105,1154,1,404
2018-11-23 04:39:30,2220,105,1154,1,404
2018-11-23 04:39:32,2220,105,1154,1,404
2018-11-23 04:39:34,2220,105,1154,1,404
2018-11-23 04:39:36,2220,105,1154,1,404
2018-11-23 04:39:38,2220,105,1154,1,404
2018-11-23 04:39:40,2220,105,1154,1,404
2018-11-23 04:39:42,2220,105,1154,1,404
2018-11-23 04:39:44,2220,105,1154,1,404
2018-11-23 04:39:46,2220,105,1154,1,404
2018-11-23 04:39:48,2220,105,1154,1,404
2018-11-23 04:39:50,2220,105,1154,1,404
2018-11-23 04:39:52,2220,105,1154,1,404
2018-11-23 04:39:54,2220,105,1154,1,404
2018-11-23 04:39:56,2220,105,1154,1,404
2018-11-23 04:39:58,2220,105,1154,1,404
2018-11-23 04:40:00,2220,105,1154,1,405
2018-11-23 04:40:02,2220,105,1154,1,405
2018-11-23 04:40:04,2220,105,1154,1,405
2018-11-23 04:40:06,2220,105,1154,1,405
2018-11-23 04:40:08,2220,105,1154,1,405
2018-11-23 04:40:10,2220,105,1154,1,405
2018-11-23 04:40:12,2220,105,1155,1,405
2018-11-23 04:40:14,2220,105,1155,1,405
2018-11-23 04:40:16,2220,105,1155,1,405
2018-11-23 04:40:18,2220,105,1155,1,405
2018-11-23 04:40:20,2220,105,1155,1,405
2018-11-23 04:40:22,2220,105,1155,1,405
2018-11-23 04:40:24,2220,105,1155,1,405
2018-11-23 04:40:26,2220,105,1155,1,406
2018-11-23 04:40:28,2220,105,1155,1,406
2018-11-23 04:40:30,2220,105,1155,1,406
2018-11-23 04:40:32,2220,105,1155,1,406
2018-11-23 04:40:34,2220,105,1155,1,406
2018-11-23 04:40:36,2220,105,1155,1,406
2018-11-23 04:40:38,2220,105,1155,1,406
2018-11-23 04:40:40,2220,105,1155,1,406
2018-11-23 04:40:42,2220,105,1155,1,406
2018-11-23 04:40:44,2220,105,1155,1,406
2018-11-23 04:40:46,2220,105,1155,1,406
2018-11-23 04:40:48,2220,105,1155,1,407
2018-11-23 04:40:50,2220,105,1155,1,407
2018-11-23 04:40:52,2220,105,1155,1,407
2018-11-23 04:40:54,2220,105,1155,1,407
2018-11-23 04:40:56,2220,105,1155,1,407
2018-11-23 04:40:58,2220,105,1155,1,407
2018-11-23 04:41:00,2220,105,1155,1,407
2018-11-23 04:41:02,2220,105,1155,1,407
2018-11-23 04:41:04,2220,105,1155,1,407
2018-11-23 04:41:06,2221,105,1155,1,407
2018-11-23 04:41:08,2221,105,1155,1,408
