@relation auto-analyze-full

@attribute ID numeric
@attribute neg numeric
@attribute neu numeric
@attribute pos numeric
@attribute compound numeric
@attribute class {negative,positive,neutral}

@data
8619,0.071,0.707,0.221,0.973,neutral
6302,0.154,0.822,0.024,-0.9302,negative
30763,0.143,0.857,0,-0.5904,negative
70577,0,0.542,0.458,0.9741,positive
57302,0,0.744,0.256,0.8745,positive
12473,0,0.832,0.168,0.5007,negative
68596,0.021,0.806,0.172,0.9741,positive
23448,0.057,0.784,0.159,0.7391,neutral
55709,0.079,0.665,0.256,0.6808,positive
40536,0.044,0.551,0.405,0.9334,positive
43656,0,0.828,0.172,0.6593,neutral
26156,0,0.801,0.199,0.8935,positive
55075,0,0.646,0.354,0.8858,positive
11354,0,0.832,0.168,0.6421,negative
63611,0,0.841,0.159,0.8736,positive
71067,0.02,0.828,0.152,0.9737,neutral
34464,0.056,0.785,0.159,0.9257,positive
51458,0,0.685,0.315,0.9665,positive
31080,0,0.6,0.4,0.7184,positive
33495,0.043,0.863,0.093,0.8407,positive
56060,0,0.731,0.269,0.9908,positive
63740,0,0.812,0.188,0.9681,positive
44290,0.025,0.777,0.198,0.9237,neutral
20167,0,0.918,0.082,0.3818,positive
68908,0.051,0.814,0.135,0.9472,positive
52515,0,0.811,0.189,0.886,positive
36966,0,1,0,0,negative
52073,0.042,0.772,0.185,0.8118,positive
20645,0,0.79,0.21,0.9919,positive
69336,0,1,0,0,positive
12338,0,1,0,0,positive
48280,0.045,0.772,0.182,0.9614,neutral
11514,0,0.782,0.218,0.8877,positive
34,0.024,0.906,0.069,0.7926,positive
36786,0.116,0.884,0,-0.623,negative
52826,0.054,0.902,0.043,-0.5451,negative
72305,0.119,0.7,0.181,0.5792,positive
33825,0.026,0.673,0.301,0.9928,positive
45596,0.072,0.894,0.034,-0.3818,neutral
42041,0.217,0.732,0.051,-0.8107,negative
10109,0.118,0.774,0.108,0.0593,negative
26398,0.031,0.761,0.208,0.9369,positive
68755,0.101,0.765,0.134,0.6486,neutral
37180,0.053,0.833,0.114,0.5045,positive
67259,0.068,0.722,0.21,0.9401,positive
18551,0.03,0.831,0.139,0.9355,positive
48586,0.041,0.672,0.287,0.9931,neutral
35743,0.114,0.721,0.165,0.332,positive
24095,0.072,0.928,0,-0.8503,negative
32031,0,0.784,0.216,0.89,positive
47493,0,0.833,0.167,0.9501,neutral
31980,0,0.602,0.398,0.9702,positive
28746,0.112,0.888,0,-0.7332,negative
3783,0,0.766,0.234,0.6705,positive
8778,0,0.762,0.238,0.9612,positive
48843,0.045,0.808,0.146,0.9517,neutral
70678,0.068,0.679,0.253,0.9688,neutral
715,0.023,0.842,0.135,0.8302,positive
42809,0.046,0.693,0.261,0.8393,positive
